statement,file_path,INCLUDE,INCLUDE_PATH,DEPENDENCY_EXISTS,LIBNAME,MACRO_DEF,MACRO_CALL,tables_sourcejoin,tables_table,source,input_table,output_table,WRITE_BACK,MISSING_LIBNAME
dbms=csv,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
replace;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
getnames=yes;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/* display the structure of the imported data */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"title ""structure of the imported test dataset"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
proc contents data=new_data;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
title;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/******************************************,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
data new_data_processed;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
set new_data;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/* standardize variables using actual training dataset means and standard deviations */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
z_glucose = (glucose - 121.69) / 30.44;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
z_bmi = (bmi - 32.46) / 6.88;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
z_age = (age - 33.24) / 11.76;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/* assign bmi categories */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"if bmi < 18.5 then bmi_category = ""underweight"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"else if bmi >= 18.5 and bmi < 25 then bmi_category = ""normal"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"else if bmi >= 25 and bmi < 30 then bmi_category = ""overweight"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"else bmi_category = ""obese"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/* verify the processed data */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"title ""processed test dataset"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
proc print data=new_data_processed(obs=10);,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
title;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/******************************************,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
proc logistic inmodel=refined_model;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
score data=new_data_processed out=new_data_predictions;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/* check if scoring was successful */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"title ""contents of scored data"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
proc contents data=new_data_predictions;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
title;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/******************************************,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
data new_data_predictions;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
set new_data_predictions;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
predicted_prob = p_1; /* map predicted probability for outcome=1 */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"predicted_class = (predicted_prob >= 0.5); /* binary classification: 1 = diabetes, 0 = no diabetes */",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/******************************************,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"title ""predictions for processed test dataset"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
proc print data=new_data_predictions(obs=10);,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
var pregnancies glucose bloodpressure skinthickness insulin bmi diabetespedigreefunction age outcome predicted_prob predicted_class;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
title;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/******************************************,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
proc export data=new_data_predictions,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"outfile=""/home/u64112808/sasuser.v94/diabetes prediction project/predicted_data.csv""",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
dbms=csv,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
replace;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/* confirmation */,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
"title ""predictions exported to csv"";",SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
run;,SAS Files\Diabetes Prediction.sas,,,,,,,,,,,,No,
/*process the raw demographic data from a csv file*/,SAS Files\dm.sas,,,,,,,,,,,,No,
%include '/folders/myfolders/test1/common.sas';,SAS Files\dm.sas,yes,/folders/myfolders/test1/common.sas,No,,,,,,,,,No,
%common;,SAS Files\dm.sas,,,,,,,,,,,,No,
filename infl '/folders/myfolders/test1/dm.csv';,SAS Files\dm.sas,,,,,,,,,,,,No,
proc format;,SAS Files\dm.sas,,,,,,,,,,,,No,
value trt,SAS Files\dm.sas,,,,,,,,,,,,No,
"1 = ""active""",SAS Files\dm.sas,,,,,,,,,,,,No,
"0 = ""placebo"";",SAS Files\dm.sas,,,,,,,,,,,,No,
value gender,SAS Files\dm.sas,,,,,,,,,,,,No,
"1 = ""m""",SAS Files\dm.sas,,,,,,,,,,,,No,
"2 = ""f""",SAS Files\dm.sas,,,,,,,,,,,,No,
"3 = ""u"";",SAS Files\dm.sas,,,,,,,,,,,,No,
value race,SAS Files\dm.sas,,,,,,,,,,,,No,
"1 = ""white""",SAS Files\dm.sas,,,,,,,,,,,,No,
"2 = ""black""",SAS Files\dm.sas,,,,,,,,,,,,No,
"3 = ""other"";",SAS Files\dm.sas,,,,,,,,,,,,No,
run;,SAS Files\dm.sas,,,,,,,,,,,,No,
data source.demographic;,SAS Files\dm.sas,,,,,,,,demographic,,,source.demographic,Yes,Yes
infile infl dlm='2c0d'x dsd missover;,SAS Files\dm.sas,,,,,,,,,,,,No,
length dob1 $10,SAS Files\dm.sas,,,,,,,,,,,,No,
randdt1 $10;,SAS Files\dm.sas,,,,,,,,,,,,No,
input subject trt gender race orace $ dob1 $ randdt1 $;,SAS Files\dm.sas,,,,,,,,,,,,No,
"dob=input(dob1,mmddyy10.);",SAS Files\dm.sas,,,,,,,,,,,,No,
"randdt=input(randdt1,mmddyy10.);",SAS Files\dm.sas,,,,,,,,,,,,No,
format dob randdt mmddyy10.;,SAS Files\dm.sas,,,,,,,,,,,,No,
"uniqueid = 'uni' || put(subject,3.);",SAS Files\dm.sas,,,,,,,,,,,,No,
"gender1=put(gender,gender.);",SAS Files\dm.sas,,,,,,,,,,,,No,
"race1=put(race,race.);",SAS Files\dm.sas,,,,,,,,,,,,No,
"trt1=put(trt,trt.);",SAS Files\dm.sas,,,,,,,,,,,,No,
"label subject  = ""subject number""",SAS Files\dm.sas,,,,,,,,,,,,No,
"trt      = ""treatment""",SAS Files\dm.sas,,,,,,,,,,,,No,
"gender   = ""gender""",SAS Files\dm.sas,,,,,,,,,,,,No,
"race     = ""race""",SAS Files\dm.sas,,,,,,,,,,,,No,
"orace    = ""oher race specify""",SAS Files\dm.sas,,,,,,,,,,,,No,
"dob      = ""date of birth""",SAS Files\dm.sas,,,,,,,,,,,,No,
"uniqueid = ""company wide subject id""",SAS Files\dm.sas,,,,,,,,,,,,No,
"randdt   = ""randomization date"";",SAS Files\dm.sas,,,,,,,,,,,,No,
drop dob1 randdt1 gender race;,SAS Files\dm.sas,,,,,,,,,,,,No,
rename gender1=gender race1=race;,SAS Files\dm.sas,,,,,,,,,,,,No,
run;,SAS Files\dm.sas,,,,,,,,,,,,No,
/*process the raw dose data from an excel file,SAS Files\ds.sas,,,,,,,,,,,,No,
key points: 1) make up missing dates; 2)convert excel dates to sas dates,SAS Files\ds.sas,,,,,,,,,,,,No,
%include '/folders/myfolders/test1/common.sas';,SAS Files\ds.sas,yes,/folders/myfolders/test1/common.sas,No,,,,,,,,,No,
%common;,SAS Files\ds.sas,,,,,,,,,,,,No,
"libname ds xlsx ""/folders/myfolders/test1/ds.xlsx"";",SAS Files\ds.sas,,,,,,,,,,,,No,
data source.dosing;,SAS Files\ds.sas,,,,,,,,dosing,,,source.dosing,Yes,Yes
set ds.sheet1;,SAS Files\ds.sas,,,,,,,sheet1,,,ds.sheet1,,No,Yes
"if find(startdt,'/') then",SAS Files\ds.sas,,,,,,,,,,,,No,
do;,SAS Files\ds.sas,,,,,,,,,,,,No,
array var1(3) $4.;,SAS Files\ds.sas,,,,,,,,,,,,No,
do i=1 to 3;,SAS Files\ds.sas,,,,,,,,,,,,No,
"var1(i)=scan(startdt,i,""/"");",SAS Files\ds.sas,,,,,,,,,,,,No,
if var1(i)=' ' then,SAS Files\ds.sas,,,,,,,,,,,,No,
var1(i)='1';,SAS Files\ds.sas,,,,,,,,,,,,No,
end;,SAS Files\ds.sas,,,,,,,,,,,,No,
"startdt1=mdy(input(var1(1),$4.), input(var1(2),$4.) , input(var1(3),$4.));",SAS Files\ds.sas,,,,,,,,,,,,No,
end;,SAS Files\ds.sas,,,,,,,,,,,,No,
else,SAS Files\ds.sas,,,,,,,,,,,,No,
"startdt1=input(startdt,$10.)-21916;",SAS Files\ds.sas,,,,,,,,,,,,No,
"if find(enddt,'/') then",SAS Files\ds.sas,,,,,,,,,,,,No,
do;,SAS Files\ds.sas,,,,,,,,,,,,No,
array var2(3) $4.;,SAS Files\ds.sas,,,,,,,,,,,,No,
do i=1 to 3;,SAS Files\ds.sas,,,,,,,,,,,,No,
"var2(i)=scan(enddt,i,""/"");",SAS Files\ds.sas,,,,,,,,,,,,No,
if var2(i)=' ' then,SAS Files\ds.sas,,,,,,,,,,,,No,
var2(i)='1';,SAS Files\ds.sas,,,,,,,,,,,,No,
end;,SAS Files\ds.sas,,,,,,,,,,,,No,
"enddt1=mdy(input(var2(1),$4.), input(var2(2),$4.) , input(var2(3),$4.));",SAS Files\ds.sas,,,,,,,,,,,,No,
end;,SAS Files\ds.sas,,,,,,,,,,,,No,
else,SAS Files\ds.sas,,,,,,,,,,,,No,
"enddt1=input(enddt,$10.)-21916;",SAS Files\ds.sas,,,,,,,,,,,,No,
"uniqueid = 'uni' || put(subject,3.);",SAS Files\ds.sas,,,,,,,,,,,,No,
format startdt1 enddt1 mmddyy10.;,SAS Files\ds.sas,,,,,,,,,,,,No,
drop i startdt enddt var11-var13 var21-var23;,SAS Files\ds.sas,,,,,,,,,,,,No,
rename startdt1=startdt enddt1=enddt;,SAS Files\ds.sas,,,,,,,,,,,,No,
run;,SAS Files\ds.sas,,,,,,,,,,,,No,
"%macro dtc2dt(dtcvar , prefix=a, refdt= );",SAS Files\dtc2dt.sas,,,,,dtc2dt,,,,,,,No,
"if length(trim(&dtcvar))=10 and index(&dtcvar,'--')=0 then",SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
"&prefix.dt = input(&dtcvar, yymmdd10.);",SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
"else if length(&dtcvar)=16 and index(&dtcvar,'--')=0 and index(&dtcvar,'-:')=0 then",SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
do;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
"&prefix.dtm = input(trim(&dtcvar)||"":00"", e8601dt19.);",SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
&prefix.dt  = datepart(&prefix.dtm);,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
end;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
%if &refdt^= %then,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
%do;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
if .<&prefix.dt<&refdt then,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
&prefix.dy = &prefix.dt - &refdt;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
else if &prefix.dt>=&refdt then,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
&prefix.dy = &prefix.dt - &refdt + 1;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
%end;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
%mend dtc2dt;,SAS Files\dtc2dt.sas,,,,,,,,,,,,No,
%include '/folders/myfolders/test1/common.sas';,SAS Files\lab.sas,yes,/folders/myfolders/test1/common.sas,No,,,,,,,,,No,
%common;,SAS Files\lab.sas,,,,,,,,,,,,No,
options validvarname=any;,SAS Files\lab.sas,,,,,,,,,,,,No,
proc import out=temp,SAS Files\lab.sas,,,,,,,,,,,,No,
"datafile=""/folders/myfolders/test1/lab.xls""",SAS Files\lab.sas,,,,,,,,,,,,No,
dbms=xls replace;,SAS Files\lab.sas,,,,,,,,,,,,No,
getnames=no;,SAS Files\lab.sas,,,,,,,,,,,,No,
sheet='sheet1';,SAS Files\lab.sas,,,,,,,,,,,,No,
run;,SAS Files\lab.sas,,,,,,,,,,,,No,
data source.labs;,SAS Files\lab.sas,,,,,,,,labs,,,source.labs,Yes,Yes
set temp (rename=(a=subject b=month c=labcat d=labtest e=colunits f=nresult g=lownorm h=highnorm i=labdate));,SAS Files\lab.sas,,,,,,,,,,,,No,
if lownorm=. then lownorm=0;,SAS Files\lab.sas,,,,,,,,,,,,No,
"uniqueid = 'uni' || put(subject,3.);",SAS Files\lab.sas,,,,,,,,,,,,No,
run;,SAS Files\lab.sas,,,,,,,,,,,,No,
"libname sas ""c:\00\00-data science\15-sas_project\sas_finalproject\sas_finalproject_library"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,sas,,,,,c:\00\00-data science\15-sas_project\sas_finalproject\sas_finalproject_library,,,No,
proc import out= sas.heart,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"datafile= ""c:\00\00-data science\15-sas_project\sas_finalpro",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"ject\heart.csv""",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
dbms=csv replace;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
getnames=yes;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
datarow=2;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/************************* features ********************************************************************;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
age: age of the patient [years],SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"sex: sex of the patient [m: male, f: female]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"chestpaintype: chest pain type [ta: typical angina, ata: atypical angina, nap: non-anginal pain, asy: asymptomatic]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
restingbp: resting blood pressure [mm hg],SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
normal resting blood pressure for a healthy adult typically ranges from 90/60 mmhg to 120/80 mmhg.,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
cholesterol: serum cholesterol [mm/dl],SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"fastingbs: fasting blood sugar [1: if fastingbs > 120 mg/dl, 0: otherwise]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
restingecg: resting electrocardiogram results,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"[normal: normal,",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"st: having st-t wave abnormality (t wave inversions and/or st elevation or depression of > 0.05 mv),",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
lvh: showing probable or definite left ventricular hypertrophy by estes' criteria],SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
maxhr: maximum heart rate achieved [numeric value between 60 and 202],SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"exerciseangina: exercise-induced angina [y: yes, n: no]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
oldpeak: oldpeak = st [numeric value measured in depression],SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
[thresholds for concern,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
<0 mm:may indicate heart attack or other conditions,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
0 mm: no st depression (normal).,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"1-2 mm: mild st depression, may require further evaluation.",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
">2 mm: significant st depression, often indicative of severe ischemia or coronary artery disease (cad).]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"st_slope: the slope of the peak exercise st segment [up: upsloping, flat: flat, down: downsloping]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
target:,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"heartdisease: output class [1: heart disease, 0: normal]",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/*explore and describe the dataset briefly.*/,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
browsing descriptor portion;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%macro brows(x);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,brows,,,,,,,No,
"title ""browsing data portion of &x"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc print data=sas.heart (obs=20);run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"title ""browsing descriptor portion of &x"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc contents data=sas.heart;run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%mend brows;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%brows(heart disease dataset),SAS Files\LiWu_SAS_FinalProject.sas,,,,,,brows,,,,,,No,
age | restingbp | cholesterol | maxhr | oldpeak;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
sex | chestpaintype | fastingbs | restingecg | exerciseangina | st_slope;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/*duplicates in the dataset*/,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sort data=sas.heart out=sas.heart_sorted noduprecs dupout=sas.heart_duplicates;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
by _all_;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc contents data=sas.heart_duplicates;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/*missing values in the dataset*/,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"title ""the number of missing values in numerical variables"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc means data=sas.heart nmiss;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"title ""the numeber of missing values in categorical variables"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc freq data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
tables sex chestpaintype fastingbs restingecg exerciseangina st_slope / missing nocum;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
univariate analysis,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"title ""univariate analysis: numerical variables in heart data"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc univariate data=sas.heart normal plot;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var age restingbp cholesterol maxhr oldpeak;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/*create macro for univaritae analysis (numericable variabels)*/,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"title ""univariate analysis (numerical): age"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc means data=sas.heart n nmiss min p10 q1 mean median q3 p90 p99 max std cv clm maxdec=2;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var age;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sgplot data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
histogram age / fillattrs=(color=lightblue);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
density age;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
density age / type=kernel;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sgplot data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
hbox age / fillattrs=(color=lightblue);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
ods select qqplot testsfornormality;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc univariate data=sas.heart normal;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var age;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
qqplot age / normal(mu=est sigma=est);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%let var=age;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
"title ""univariate analysis (numerical): &var"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc means data=sas.heart n nmiss min p10 q1 mean median q3 p90 p99 max std cv clm maxdec=2;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var &var;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sgplot data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
histogram &var / fillattrs=(color=lightblue);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
density &var;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
density &var / type=kernel;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sgplot data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
hbox &var / fillattrs=(color=lightblue);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
ods select qqplot testsfornormality;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc univariate data=sas.heart normal;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var &var;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
qqplot &var / normal(mu=est sigma=est);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%macro unianalysis_num(var);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,unianalysis_num,,,,,,,No,
"title ""univariate analysis (numerical): &var"";",SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/* descriptive statistics */,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc means data=sas.heart n nmiss min p10 q1 mean median q3 p90 p99 max std cv clm maxdec=2;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var &var;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/* distribution */,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sgplot data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
histogram &var / fillattrs=(color=lightblue);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
density &var;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
density &var / type=kernel;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/* boxplot: potential outliers */,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc sgplot data=sas.heart;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
hbox &var / fillattrs=(color=lightblue);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
/* normality test */,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
ods select qqplot testsfornormality;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
proc univariate data=sas.heart normal;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
var &var;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
qqplot &var / normal(mu=est sigma=est);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
run;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%mend unianalysis_num;,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,,,,,,,No,
%unianalysis_num(age);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,unianalysis_num,,,,,,No,
%unianalysis_num(restingbp);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,unianalysis_num,,,,,,No,
%unianalysis_num(cholesterol);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,unianalysis_num,,,,,,No,
%unianalysis_num(maxhr);,SAS Files\LiWu_SAS_FinalProject.sas,,,,,,unianalysis_num,,,,,,No,
